$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Crados_3|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Crados_5|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Crados_6|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Crados_7|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Crados_8|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_DaftAlive_1|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_DaftAlive_2|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_Dresdened_1|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_ElectroMovie_1|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_10|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_11|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|Free|AW_125_FunkBot_12_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_12|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_13|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_14|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_15B|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_15|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_16|38|21885|82201|1||125bpm(1)
